Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
2005-08-03,PS Jayaprakashdaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Dambulla
2005-08-03,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Dambulla
2005-08-03,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Dambulla
2005-08-09,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Colombo (RPS)
2005-08-31,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Colombo (SSC)
2005-08-31,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Bangladesh,Colombo (SSC)
2005-09-02,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Colombo (RPS)
2005-09-02,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Colombo (RPS)
2005-09-02,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Colombo (RPS)
2005-09-02,RP Arnold,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Bangladesh,Colombo (RPS)
2005-09-02,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Bangladesh,Colombo (RPS)
2005-09-04,RP Arnold,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2005-09-04,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2005-09-04,DPMD Jayawardene,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2005-09-04,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2005-09-04,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2005-10-25,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,Sub,India,Nagpur
2005-10-28,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,India,Mohali
2005-10-31,RP Arnold,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Jaipur
2005-10-31,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,India,Jaipur
2005-10-31,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Jaipur
2005-10-31,TT Samaraweera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Jaipur
2005-10-31,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Jaipur
